preprint_doi,published_doi,published_journal,preprint_platform,preprint_title,preprint_authors,preprint_category,preprint_date,published_date,preprint_abstract,preprint_author_corresponding,preprint_author_corresponding_institution
10.1101/003012,10.1073/pnas.1313285111,Proceedings of the National Academy of Sciences,bioRxiv,Genetic drift opposes mutualism during spatial population expansion,Melanie JI Mueller;Beverly I Neugeboren;David R Nelson;Andrew W Murray;,Evolutionary Biology ,2014-02-25,2014-01-06,"Mutualistic interactions benefit both partners, promoting coexistence and genetic diversity. Spatial structure can promote cooperation, but spatial expansions may also make it hard for mutualistic partners to stay together, since genetic drift at the expansion front creates regions of low genetic and species diversity. To explore the antagonism between mutualism and genetic drift, we grew cross-feeding strains of the budding yeast S. cerevisiae on agar surfaces as a model for mutualists undergoing spatial expansions. By supplying varying amounts of the exchanged nutrients, we tuned strength and symmetry of the mutualistic interaction. Strong mutualism suppresses genetic demixing during spatial expansions and thereby maintains diversity, but weak or asymmetric mutualism is overwhelmed by genetic drift even when mutualism is still beneficial, slowing growth and reducing diversity. Theoretical modeling using experimentally measured parameters predicts the size of demixed regions and how strong mutualism must be to survive a spatial expansion.",Melanie JI Mueller,Harvard University
10.1101/000315,10.1371/journal.pone.0087782,PLOS ONE,bioRxiv,On the Reproducibility of TCGA Ovarian Cancer MicroRNA Profiles,Ying-Wooi Wan;Claire Mach;Genevera I. Allen;Matthew Anderson;Zhandong Liu;,Genomics ,2013-11-13,2014-01-29,"Dysregulated microRNA (miRNA) expression is a well-established feature of human cancer. However, the role of specific miRNAs in determining cancer outcomes remains unclear. Using Level 3 expression data from the Cancer Genome Atlas (TCGA), we identified 61 miRNAs that are associated with overall survival in 469 ovarian cancers profiled by microarray (p<0.01). We also identified 12 miRNAs that are associated with survival when miRNAs were profiled in the same specimens using Next Generation Sequencing (miRNA-Seq) (p<0.01). Surprisingly, only 1 miRNA transcript is associated with ovarian cancer survival in both datasets. Our analyses indicate that this discrepancy is due to the fact that miRNA levels reported by the two platforms correlate poorly, even after correcting for potential issues inherent to signal detection algorithms. Further investigation is warranted.",Zhandong  Liu,Baylor College of Medicine
10.1101/000067,10.1038/nature12904,Nature,bioRxiv,Genetics of single-cell protein abundance variation in large yeast populations,Frank Albert;Sebastian Treusch;Arthur H Shockley;Joshua S Bloom;Leonid Kruglyak;,Genomics ,2013-11-07,2014-02-27,"Many DNA sequence variants influence phenotypes by altering gene expression. Our understanding of these variants is limited by sample sizes of current studies and by measurements of mRNA rather than protein abundance. We developed a powerful method for identifying genetic loci that influence protein expression in very large populations of the yeast Saccharomyes cerevisiae. The method measures single-cell protein abundance through the use of green-fluorescent-protein tags. We applied this method to 160 genes and detected many more loci per gene than previous studies. We also observed closer correspondence between loci that influence protein abundance and loci that influence mRNA abundance of a given gene. Most loci cluster at hotspot locations that influence multiple proteins--in some cases, more than half of those examined. The variants that underlie these hotspots have profound effects on the gene regulatory network and provide insights into genetic variation in cell physiology between yeast strains.",Leonid  Kruglyak,UCLA
10.1101/001776,10.1186/1471-2164-15-82,BMC Genomics,bioRxiv,"Chromothripsis-like patterns are recurring but heterogeneously distributed features in a survey of 22,347 cancer genome screens",Haoyang Cai;Nitin Kumar;Homayoun C Bagheri;Christian von Mering;Mark Robinson;Michael Baudis;,Genomics ,2014-01-13,2014-01-29,"BackgroundChromothripsis is a recently discovered phenomenon of genomic rearrangement, possibly arising during a single genome-shattering event. This could provide an alternative paradigm in cancer development, replacing the gradual accumulation of genomic changes with a \""one-off\"" catastrophic event. However, the term has been used with varying operational definitions, with the minimal consensus being a large number of locally clustered copy number aberrations. The mechanisms underlying these chromothripsis-like patterns (CTLP) and their specific impact on tumorigenesis are still poorly understood.\n\nResultsHere, we identified CTLP in 918 cancer samples, from a dataset of more than 22,000 oncogenomic arrays covering 132 cancer types. Fragmentation hotspots were found to be located on chromosome 8, 11, 12 and 17. Among the various cancer types, soft-tissue tumors exhibited particularly high CTLP frequencies. Genomic context analysis revealed that CTLP rearrangements frequently occurred in genomes that additionally harbored multiple copy number aberrations (CNAs). An investigation into the affected chromosomal regions showed a large proportion of arm-level pulverization and telomere related events, which would be compatible to a number of underlying mechanisms. We also report evidence that these genomic events may be correlated with patient age, stage and survival rate.\n\nConclusionsThrough a large-scale analysis of oncogenomic array data sets, this study characterized features associated with genomic aberrations patterns, compatible to the spectrum of \""chromothripsis\""-definitions as previously used. While quantifying clustered genomic copy number aberrations in cancer samples, our data indicates an underlying biological heterogeneity behind these chromothripsis-like patterns, beyond a well defined \""chromthripsis\"" phenomenon.",Michael  Baudis,University of Zurich
10.1101/002410,10.1038/nn.3669,Nature Neuroscience,bioRxiv,Broadly tuned and respiration-independent inhibition in the olfactory bulb of awake mice,Brittany N Cazakoff;Billy Y B Lau;Kerensa L Crump;Heike Demmer;Stephen David Shea;,Neuroscience ,2014-02-06,2014-04-01,"Olfactory representations are shaped by both brain state and respiration; however, the interaction and circuit substrates of these influences are poorly understood. Granule cells (GCs) in the main olfactory bulb (MOB) are presumed to sculpt activity that reaches the olfactory cortex via inhibition of mitral/tufted cells (MTs). GCs may potentially sparsen ensemble activity by facilitating lateral inhibition among MTs, and/or they may enforce temporally-precise activity locked to breathing. Yet, the selectivity and temporal structure of GC activity during wakefulness are unknown. We recorded GCs in the MOB of anesthetized and awake mice and reveal pronounced state-dependent features of odor coding and temporal patterning. Under anesthesia, GCs exhibit sparse activity and are strongly and synchronously coupled to the respiratory cycle. Upon waking, GCs desynchronize, broaden their odor responses, and typically fire without regard for the respiratory rhythm. Thus during wakefulness, GCs exhibit stronger odor responses with less temporal structure. Based on these observations, we propose that during wakefulness GCs likely predominantly shape MT odor responses through broadened lateral interactions rather than respiratory synchronization.",Stephen David Shea,Cold Spring Harbor Laboratory
10.1101/000950,10.1093/mp/ssu003,Molecular Plant,bioRxiv,An XA21-Associated Kinase (OsSERK2) regulates immunity mediated by the XA21 and XA3 immune receptors,Xuewei Chen;Shimin Zuo;Benjamin Schwessinger;Mawsheng Chern;Patrick Canlas;Deling Ruan;Arsalan Daudi;Xiaogang Zhang;Jing Wang;Christopher Petzold;Joshua Heazlewood;Pamela C Ronald;,Plant Biology ,2013-11-26,2014-01-30,"The rice XA21 immune receptor kinase and the structurally related XA3 receptor, confer immunity to Xanthomonas oryzae pv. oryzae (Xoo), the causal agent of bacterial leaf blight. Here we report the isolation of OsSERK2 (rice somatic embryogenesis receptor kinase 2) and demonstrate that OsSERK2 positively regulates immunity mediated by XA21 and XA3 as well as the rice immune receptor FLS2 (OsFLS2). Rice plants silenced for OsSerk2 display altered morphology and reduced sensitivity to the hormone brassinolide. OsSERK2 interacts with the intracellular domains of each immune receptor in the yeast-two-hybrid system in a kinase activity dependent manner. OsSERK2 undergoes bidirectional trans-phosphorylation with XA21 in vitro and forms a constitutive complex with XA21 in vivo. These results demonstrate an essential role for OsSERK2 in the function of three rice immune receptors and suggest that direct interaction with the rice immune receptors is critical for their function. Taken together, our findings suggest that the mechanism of OsSERK2-meditated regulation of rice XA21, XA3 and FLS2 differs from that of AtSERK3/BAK1-mediated regulation of Arabidopsis FLS2 and EFR.",Pamela C Ronald,"Department of Plant Pathology and the Genome Center, University of California, Davis, California 956"
10.1101/003335,10.1021/sb400206c,ACS Synthetic Biology,bioRxiv,Rapidly characterizing the fast dynamics of RNA genetic circuitry with cell-free transcription-translation (TX-TL) systems,Melissa K Takahashi;James Chappell;Clarmyra A Hayes;Zachary Z Sun;Vipul Singhal;Kevin J Spring;Shaima Al-Khabouri;Christopher P Fall;Vincent Noireaux;Richard M Murray;Julius B Lucks;,Synthetic Biology ,2014-03-17,2014-03-28,"RNA regulators are emerging as powerful tools to engineer synthetic genetic networks or rewire existing ones. A potential strength of RNA networks is that they may be able to propagate signals on timescales that are set by the fast degradation rates of RNAs. However, a current bottleneck to verifying this potential is the slow design-build-test cycle of evaluating these networks in vivo. Here we adapt an Escherichia coli-based cell-free transcription-translation (TX-TL) system for rapidly prototyping RNA networks. We used this system to measure the response time of an RNA transcription cascade to be approximately five minutes per step of the cascade. We also show that this response time can be adjusted with temperature and regulator threshold response tuning. Finally we use TX-TL to prototype a new RNA network, an RNA single input module, and show that this network temporally stages the expression of two genes in vivo.",Julius B Lucks,Cornell University
10.1101/001172,10.1093/sysbio/syu018,Systematic Biology,bioRxiv,Species Delimitation using Genome-Wide SNP Data,Adam Leache;Matthew Fujita;Vladimir Minin;Remco Bouckaert;,Evolutionary Biology ,2013-12-05,2014-03-12,"The multi-species coalescent has provided important progress for evolutionary inferences, including increasing the statistical rigor and objectivity of comparisons among competing species delimitation models. However, Bayesian species delimitation methods typically require brute force integration over gene trees via Markov chain Monte Carlo (MCMC), which introduces a large computation burden and precludes their application to genomic-scale data. Here we combine a recently introduced dynamic programming algorithm for estimating species trees that bypasses MCMC integration over gene trees with sophisticated methods for estimating marginal likelihoods, needed for Bayesian model selection, to provide a rigorous and computationally tractable technique for genome-wide species delimitation. We provide a critical yet simple correction that brings the likelihoods of different species trees, and more importantly their corresponding marginal likelihoods, to the same common denominator, which enables direct and accurate comparisons of competing species delimitation models using Bayes factors. We test this approach, which we call Bayes factor delimitation (*with genomic data; BFD*), using common species delimitation scenarios with computer simulations. Varying the numbers of loci and the number of samples suggest that the approach can distinguish the true model even with few loci and limited samples per species. Misspecification of the prior for population size{theta} has little impact on support for the true model. We apply the approach to West African forest geckos (Hemidactylus fasciatus complex) using genome-wide SNP data data. This new Bayesian method for species delimitation builds on a growing trend for objective species delimitation methods with explicit model assumptions that are easily tested.",Adam  Leache,University of Washington
10.1101/002741,10.7554/eLife.01917.001,eLife,bioRxiv,Fluorescent sensors for activity and regulation of the nitrate transceptor CHL1/NRT1.1 and oligopeptide transporters,Cheng Hsun Ho;Wolf B. Frommer;,Cell Biology ,2014-02-18,2014-03-12,"To monitor nitrate and peptide transport activity in vivo, we converted the dual-affinity nitrate transceptor CHL1/NRT1.1/NPF6.3 and four related oligopeptide transporters PTR1, 2, 4 and 5 into fluorescence activity sensors (NiTrac1, PepTrac). Substrate addition to yeast expressing transporter fusions with yellow fluorescent protein and mCerulean triggered substrate-dependent donor quenching or resonance energy transfer. Fluorescence changes were nitrate/peptide-specific, respectively. Like CHL1, NiTrac1 had biphasic kinetics. Mutation of T101A eliminated high-affinity transport and blocked the fluorescence response to low nitrate. NiTrac was used for characterizing side chains considered important for substrate interaction, proton coupling, and regulation. We observed a striking correlation between transport activity and sensor output. Coexpression of NiTrac with known calcineurin-like proteins (CBL1, 9; CIPK23) and candidates identified in an interactome screen (CBL1, KT2, WNKinase 8) blocked NiTrac1 responses, demonstrating the suitability for in vivo analysis of activity and regulation. The new technology is applicable in plant and medical research.",Wolf B. Frommer,Carnegie Institution for Science
10.1101/001800,10.1371/journal.pone.0091819,PLOS ONE,bioRxiv,The Toxoplasma Acto-MyoA Motor Complex Is Important but Not Essential for Gliding Motility and Host Cell Invasion,Saskia Egarter;Nicole Andenmatten;Allison J Jackson;Jamie A Whitelaw;Gurmann Pall;Jennifer A Black;David JP Ferguson;Isabelle Tardieux;Alex Mogilner;Markus Meissner;,Cell Biology ,2014-01-15,2014-03-14,"Apicomplexan parasites are thought to actively invade the host cell by gliding motility. This movement is powered by the parasite own actomyosin system and depends on the regulated polymerisation and depolymerisation of actin to generate the force for gliding and host cell penetration. Recent studies demonstrated that Toxoplasma gondii can invade the host cell in the absence of several core components of the invasion machinery, such as the motor protein myosin A (MyoA), the microneme proteins MIC2 and AMA1 and actin, indicating the presence of alternative invasion mechanisms. Here the roles of MyoA, MLC1, GAP45 and Act1, core components of the gliding machinery, are re-dissected in detail. Although important roles of these components for gliding motility and host cell invasion are verified, mutant parasites remain invasive and do not show a block of gliding motility, suggesting that other mechanisms must be in place to enable the parasite to move and invade the host cell. A novel, hypothetical model for parasite gliding motility and invasion is presented based on osmotic forces generated in the cytosol of the parasite that are converted into motility.",Markus  Meissner,University of Glasgow
10.1101/002659,10.1038/nmat3912,Nature Materials,bioRxiv,Synthesis and patterning of tunable multiscale materials with engineered cells,Allen Y Chen;Urartu O.S. Seker;Michelle Y Lu;Robert J Citorik;Timothy Lu;,Synthetic Biology ,2014-02-14,2014-03-23,"A major challenge in materials science is to create self-assembling, functional, and environmentally responsive materials which can be patterned across multiple length scales. Natural biological systems, such as biofilms, shells, and skeletal tissues, implement dynamic regulatory programs to assemble complex multiscale materials comprised of living and non-living components1-9. Such systems can provide inspiration for the design of heterogeneous functional systems which integrate biotic and abiotic materials via hierarchical self-assembly. Here, we present a synthetic-biology platform for synthesizing and patterning self-assembled functional amyloid materials across multiple length scales with bacterial biofilms. We engineered Escherichia coli curli amyloid production under the tight control of synthetic regulatory circuits and interfaced amyloids with inorganic materials to create a biofilm-based electrical switch whose conductance can be selectively toggled by specific environmental signals. Furthermore, we externally tuned synthetic biofilms to build nanoscale amyloid biomaterials with different structure and composition through the controlled expression of their constituent subunits with artificial gene circuits. By using synthetic cell-cell communication, our engineered biofilms can also autonomously manufacture dynamic materials whose structure and composition change with time. In addition, we show that by combining subunit-level protein engineering, controlled genetic expression of self-assembling subunit proteins, and macroscale spatial gradients, synthetic biofilms can pattern protein biomaterials across multiple length scales. This work lays a foundation for synthesizing, patterning, and controlling composite materials with engineered biological systems. We envision that this approach can be expanded to other cellular and biomaterials contexts for the construction of self-organizing, environmentally responsive, and tunable multiscale composite materials with heterogeneous functionalities.",Timothy  Lu,Massachusetts Institute of Technology
10.1101/000455,10.1186/2047-217X-3-3,GigaScience,bioRxiv,A data repository and analysis framework for spontaneous neural activity recordings in developing retina,Stephen Eglen;Michael Weeks;Mark Jessop;Jennifer Simonotto;Tom Jackson;Evelyne Sernagor;,Neuroscience ,2013-11-15,2014-03-26,"BackgroundDuring early development, neural circuits fire spontaneously, generating activity episodes with complex spatiotemporal patterns. Recordings of spontaneous activity have been made in many parts of the nervous system over the last 25 years, reporting developmental changes in activity patterns and the effects of various genetic perturbations.\n\nResultsWe present a curated repository of multielectrode array recordings of spontaneous activity in developing mouse and ferret retina. The data have been annotated with minimal metadata and converted into HDF5. This paper describes the structure of the data, along with examples of reproducible research using these data files. We also demonstrate how these data can be analysed in the CARMEN workflow system. This article is written as a literate programming document; all programs and data described here are freely available.\n\nConclusions1. We hope this repository will lead to novel analysis of spontaneous activity recorded in different laboratories. 2. We encourage published data to be added to the repository. 3. This repository serves as an example of how multielectrode array recordings can be stored for long-term reuse.",Stephen  Eglen,University of Cambridge
10.1101/001032,10.1371/journal.pone.0091768,PLOS ONE,bioRxiv,"Mechanism of β-Aminobutyric Acid-Induced Resistance in Wheat to the Grain Aphid, Sitobion avenae",He-He Cao;Meng Zhang;Hui Zhao;Yi Zhang;Xing-Xing Wang;Shan-Shan Guo;Zhan-Feng Zhang;Tong-Xian Liu;,Ecology ,2013-12-02,2014-03-20,"The non-protein amino acid {beta}-aminobutyric acid (BABA) could induce plant resistance to a broad spectrum of biotic and abiotic stresses. However, BABA-induced plant resistance to insects is less well-studied, especially its underlying mechanism. In this research, we applied BABA to wheat seedlings and tested its effects on Sitobion avenae. When applied as a soil drench, BABA significantly reduced weight of S. avenae, whereas foliar spray and seed treatment had no such effects. BABA-mediated suppression of S. avenae growth is dose dependent and could last at least for 7 days. The aminobutyric acid concentration in phloem sap of BABA-treated plants accumulated to high levels and increased with BABA concentrations applied. Moreover, after 10 days of treatment, the aminobutyric acid content in BABA-treated plants was still higher than that in control treatment. S. avenae could not discriminate artificial diet containing BABA from standard diet, indicating that BABA itself is not a deterrent to this aphid. Also S. avenae did not show preference for control plants or BABA-treated plants. Consistent with choice test results, S. avenae had similar feeding activities on control and BABA-treated plants, suggesting that BABA did not induce antifeedants in wheat seedlings. In addition, aminobutyric acid concentration in S. avenae feeding on BABA-treated plants was significantly higher than those feeding on control palnts. S. avenae growth rate was reduced on artificial diet containing BABA, indicating direct toxic effects of BABA to this aphid. These results suggest that BABA application could enhance wheat plant resistance to S. avenae and the mechanism is possibly due to direct toxicity of high BABA contents in plant phloem.",He-He  Cao,Northwest A&F University
